detid,lat,long
E1_A0B0_0,469.4,195.2
E1_A0B0_1,469.4,198.4
E1_A10A11_0,204.8,2919.4
E1_A10A11_1,201.6,2919.4
E1_A10A9_0,195.2,2480.6
E1_A10A9_1,198.4,2480.6
E1_A10B10_0,469.4,2695.2
E1_A10B10_1,469.4,2698.4
E1_A10left10_0,19.599999999999994,2704.8
E1_A10left10_1,19.599999999999994,2701.6
E1_A11A10_0,195.2,2730.6
E1_A11A10_1,198.4,2730.6
E1_A11B11_0,469.4,2945.2
E1_A11B11_1,469.4,2948.4
E1_A11left11_0,19.599999999999994,2954.8
E1_A11left11_1,19.599999999999994,2951.6
E1_A11top0_0,204.8,3130.4
E1_A11top0_1,201.6,3130.4
E1_A1A0_0,195.2,230.60000000000002
E1_A1A0_1,198.4,230.60000000000002
E1_A1A2_0,204.8,669.4
E1_A1A2_1,201.6,669.4
E1_A1B1_0,469.4,445.2
E1_A1B1_1,469.4,448.4
E1_A1left1_0,19.599999999999994,454.8
E1_A1left1_1,19.599999999999994,451.6
E1_A2A1_0,195.2,480.6
E1_A2A1_1,198.4,480.6
E1_A2A3_0,204.8,919.4
E1_A2A3_1,201.6,919.4
E1_A2B2_0,469.4,695.2
E1_A2B2_1,469.4,698.4
E1_A2left2_0,19.599999999999994,704.8
E1_A2left2_1,19.599999999999994,701.6
E1_A3A2_0,195.2,730.6
E1_A3A2_1,198.4,730.6
E1_A3A4_0,204.8,1169.4
E1_A3A4_1,201.6,1169.4
E1_A3B3_0,469.4,945.2
E1_A3B3_1,469.4,948.4
E1_A3left3_0,19.599999999999994,954.8
E1_A3left3_1,19.599999999999994,951.6
E1_A4A3_0,195.2,980.5999999999999
E1_A4A3_1,198.4,980.5999999999999
E1_A4B4_0,469.4,1195.2
E1_A4B4_1,469.4,1198.4
E1_A4left4_0,19.599999999999994,1204.8
E1_A4left4_1,19.599999999999994,1201.6
E1_A5A4_0,195.2,1230.6
E1_A5A4_1,198.4,1230.6
E1_A5B5_0,469.4,1445.2
E1_A5B5_1,469.4,1448.4
E1_A5left5_0,19.599999999999994,1454.8
E1_A5left5_1,19.599999999999994,1451.6
E1_A6A5_0,195.2,1480.6
E1_A6A5_1,198.4,1480.6
E1_A6B6_0,469.4,1695.2
E1_A6B6_1,469.4,1698.4
E1_A6left6_0,19.599999999999994,1704.8
E1_A6left6_1,19.599999999999994,1701.6
E1_A7A8_0,204.8,2169.4
E1_A7A8_1,201.6,2169.4
E1_A7B7_0,469.4,1945.2
E1_A7B7_1,469.4,1948.4
E1_A7left7_0,19.599999999999994,1954.8
E1_A7left7_1,19.599999999999994,1951.6
E1_A8B8_0,469.4,2195.2
E1_A8B8_1,469.4,2198.4
E1_A8left8_0,19.599999999999994,2204.8
E1_A8left8_1,19.599999999999994,2201.6
E1_A9B9_0,469.4,2445.2
E1_A9B9_1,469.4,2448.4
E1_A9left9_0,19.599999999999994,2454.8
E1_A9left9_1,19.599999999999994,2451.6
E1_B0B1_0,504.8,419.4
E1_B0B1_1,501.6,419.4
E1_B10A10_0,230.60000000000002,2704.8
E1_B10A10_1,230.60000000000002,2701.6
E1_B10B11_0,504.8,2919.4
E1_B10B11_1,501.6,2919.4
E1_B10B9_0,495.2,2480.6
E1_B10B9_1,498.4,2480.6
E1_B10C10_0,769.4,2695.2
E1_B10C10_1,769.4,2698.4
E1_B11B10_0,495.2,2730.6
E1_B11B10_1,498.4,2730.6
E1_B11top1_0,504.8,3130.4
E1_B11top1_1,501.6,3130.4
E1_B1A1_0,230.60000000000002,454.8
E1_B1A1_1,230.60000000000002,451.6
E1_B1B0_0,495.2,230.60000000000002
E1_B1B0_1,498.4,230.60000000000002
E1_B1B2_0,504.8,669.4
E1_B1B2_1,501.6,669.4
E1_B2A2_0,230.60000000000002,704.8
E1_B2A2_1,230.60000000000002,701.6
E1_B2B1_0,495.2,480.6
E1_B2B1_1,498.4,480.6
E1_B2B3_0,504.8,919.4
E1_B2B3_1,501.6,919.4
E1_B2C2_0,769.4,695.2
E1_B2C2_1,769.4,698.4
E1_B3A3_0,230.60000000000002,954.8
E1_B3A3_1,230.60000000000002,951.6
E1_B3B2_0,495.2,730.6
E1_B3B2_1,498.4,730.6
E1_B3B4_0,504.8,1169.4
E1_B3B4_1,501.6,1169.4
E1_B3C3_0,769.4,945.2
E1_B3C3_1,769.4,948.4
E1_B4B3_0,495.2,980.5999999999999
E1_B4B3_1,498.4,980.5999999999999
E1_B4B5_0,504.8,1419.4
E1_B4B5_1,501.6,1419.4
E1_B4C4_0,769.4,1195.2
E1_B4C4_1,769.4,1198.4
E1_B5A5_0,230.60000000000002,1454.8
E1_B5A5_1,230.60000000000002,1451.6
E1_B5B4_0,495.2,1230.6
E1_B5B4_1,498.4,1230.6
E1_B5B6_0,504.8,1669.4
E1_B5B6_1,501.6,1669.4
E1_B5C5_0,769.4,1445.2
E1_B5C5_1,769.4,1448.4
E1_B6A6_0,230.60000000000002,1704.8
E1_B6A6_1,230.60000000000002,1701.6
E1_B6B5_0,495.2,1480.6
E1_B6B5_1,498.4,1480.6
E1_B6B7_0,504.8,1919.4
E1_B6B7_1,501.6,1919.4
E1_B6C6_0,769.4,1695.2
E1_B6C6_1,769.4,1698.4
E1_B7A7_0,230.60000000000002,1954.8
E1_B7A7_1,230.60000000000002,1951.6
E1_B7B6_0,495.2,1730.6
E1_B7B6_1,498.4,1730.6
E1_B8B7_0,495.2,1980.6
E1_B8B7_1,498.4,1980.6
E1_B8B9_0,504.8,2419.4
E1_B8B9_1,501.6,2419.4
E1_B8C8_0,769.4,2195.2
E1_B8C8_1,769.4,2198.4
E1_B9A9_0,230.60000000000002,2454.8
E1_B9A9_1,230.60000000000002,2451.6
E1_B9B10_0,504.8,2669.4
E1_B9B10_1,501.6,2669.4
E1_B9B8_0,495.2,2230.6
E1_B9B8_1,498.4,2230.6
E1_C0B0_0,530.6,204.8
E1_C0B0_1,530.6,201.6
E1_C0C1_0,804.8,419.4
E1_C0C1_1,801.6,419.4
E1_C0D0_0,1069.4,195.2
E1_C0D0_1,1069.4,198.4
E1_C0bottom2_0,795.2,19.599999999999994
E1_C0bottom2_1,798.4,19.599999999999994
E1_C10B10_0,530.6,2704.8
E1_C10B10_1,530.6,2701.6
E1_C10C11_0,804.8,2919.4
E1_C10C11_1,801.6,2919.4
E1_C10C9_0,795.2,2480.6
E1_C10C9_1,798.4,2480.6
E1_C10D10_0,1069.4,2695.2
E1_C10D10_1,1069.4,2698.4
E1_C11B11_0,530.6,2954.8
E1_C11B11_1,530.6,2951.6
E1_C11D11_0,1069.4,2945.2
E1_C11D11_1,1069.4,2948.4
E1_C11top2_0,804.8,3130.4
E1_C11top2_1,801.6,3130.4
E1_C1B1_0,530.6,454.8
E1_C1B1_1,530.6,451.6
E1_C1C0_0,795.2,230.60000000000002
E1_C1C0_1,798.4,230.60000000000002
E1_C1C2_0,804.8,669.4
E1_C1C2_1,801.6,669.4
E1_C1D1_0,1069.4,445.2
E1_C1D1_1,1069.4,448.4
E1_C2B2_0,530.6,704.8
E1_C2B2_1,530.6,701.6
E1_C2C1_0,795.2,480.6
E1_C2C1_1,798.4,480.6
E1_C2C3_0,804.8,919.4
E1_C2C3_1,801.6,919.4
E1_C2D2_0,1069.4,695.2
E1_C2D2_1,1069.4,698.4
E1_C3B3_0,530.6,954.8
E1_C3B3_1,530.6,951.6
E1_C3D3_0,1069.4,945.2
E1_C3D3_1,1069.4,948.4
E1_C4B4_0,530.6,1204.8
E1_C4B4_1,530.6,1201.6
E1_C4C3_0,795.2,980.5999999999999
E1_C4C3_1,798.4,980.5999999999999
E1_C4D4_0,1069.4,1195.2
E1_C4D4_1,1069.4,1198.4
E1_C5B5_0,530.6,1454.8
E1_C5B5_1,530.6,1451.6
E1_C5C4_0,795.2,1230.6
E1_C5C4_1,798.4,1230.6
E1_C5C6_0,804.8,1669.4
E1_C5C6_1,801.6,1669.4
E1_C5D5_0,1069.4,1445.2
E1_C5D5_1,1069.4,1448.4
E1_C6C5_0,795.2,1480.6
E1_C6C5_1,798.4,1480.6
E1_C6C7_0,804.8,1919.4
E1_C6C7_1,801.6,1919.4
E1_C6D6_0,1069.4,1695.2
E1_C6D6_1,1069.4,1698.4
E1_C7B7_0,530.6,1954.8
E1_C7B7_1,530.6,1951.6
E1_C7C6_0,795.2,1730.6
E1_C7C6_1,798.4,1730.6
E1_C7D7_0,1069.4,1945.2
E1_C7D7_1,1069.4,1948.4
E1_C8B8_0,530.6,2204.8
E1_C8B8_1,530.6,2201.6
E1_C8C7_0,795.2,1980.6
E1_C8C7_1,798.4,1980.6
E1_C9B9_0,530.6,2454.8
E1_C9B9_1,530.6,2451.6
E1_C9C10_0,804.8,2669.4
E1_C9C10_1,801.6,2669.4
E1_C9C8_0,795.2,2230.6
E1_C9C8_1,798.4,2230.6
E1_C9D9_0,1069.4,2445.2
E1_C9D9_1,1069.4,2448.4
E1_D0C0_0,830.5999999999999,204.8
E1_D0C0_1,830.5999999999999,201.6
E1_D0D1_0,1104.8,419.4
E1_D0D1_1,1101.6,419.4
E1_D0E0_0,1369.4,195.2
E1_D0E0_1,1369.4,198.4
E1_D0bottom3_0,1095.2,19.599999999999994
E1_D0bottom3_1,1098.4,19.599999999999994
E1_D10C10_0,830.5999999999999,2704.8
E1_D10C10_1,830.5999999999999,2701.6
E1_D10D11_0,1104.8,2919.4
E1_D10D11_1,1101.6,2919.4
E1_D10D9_0,1095.2,2480.6
E1_D10D9_1,1098.4,2480.6
E1_D11D10_0,1095.2,2730.6
E1_D11D10_1,1098.4,2730.6
E1_D11top3_0,1104.8,3130.4
E1_D11top3_1,1101.6,3130.4
E1_D1C1_0,830.5999999999999,454.8
E1_D1C1_1,830.5999999999999,451.6
E1_D1D0_0,1095.2,230.60000000000002
E1_D1D0_1,1098.4,230.60000000000002
E1_D1D2_0,1104.8,669.4
E1_D1D2_1,1101.6,669.4
E1_D1E1_0,1369.4,445.2
E1_D1E1_1,1369.4,448.4
E1_D2C2_0,830.5999999999999,704.8
E1_D2C2_1,830.5999999999999,701.6
E1_D2D1_0,1095.2,480.6
E1_D2D1_1,1098.4,480.6
E1_D2D3_0,1104.8,919.4
