detid,flow,speed,occ,density,interval,length,pos
E1_A0B0_0,36.0,12.17,0.41,0.8199999999999998,0.0,279.2,259.0
E1_A0B0_1,36.0,13.68,0.37,0.74,0.0,279.2,259.0
E1_A10A11_0,0.0,-1.0,0.0,-0.0,0.0,229.2,209.0
E1_A10A11_1,0.0,-1.0,0.0,-0.0,0.0,229.2,209.0
E1_A10A9_0,84.0,12.42,1.02,2.04,0.0,229.2,209.0
E1_A10A9_1,60.0,13.26,0.63,1.26,0.0,229.2,209.0
E1_A10B10_0,108.0,13.14,1.24,2.48,0.0,279.2,259.0
E1_A10B10_1,0.0,-1.0,0.0,-0.0,0.0,279.2,259.0
E1_A10left10_0,0.0,-1.0,0.0,-0.0,0.0,189.6,170.0
E1_A10left10_1,24.0,12.85,0.26,0.52,0.0,189.6,170.0
E1_A11A10_0,60.0,12.68,0.66,1.32,0.0,229.2,209.0
E1_A11A10_1,36.0,13.0,0.39,0.78,0.0,229.2,209.0
E1_A11B11_0,36.0,13.06,0.39,0.78,0.0,279.2,259.0
E1_A11B11_1,0.0,-1.0,0.0,-0.0,0.0,279.2,259.0
E1_A11left11_0,12.0,13.39,0.12,0.24,0.0,189.6,170.0
E1_A11left11_1,0.0,-1.0,0.0,-0.0,0.0,189.6,170.0
E1_A11top0_0,0.0,-1.0,0.0,-0.0,0.0,189.6,170.0
E1_A11top0_1,0.0,-1.0,0.0,-0.0,0.0,189.6,170.0
E1_A1A0_0,0.0,-1.0,0.0,-0.0,0.0,229.2,209.0
E1_A1A0_1,48.0,13.1,0.51,1.02,0.0,229.2,209.0
E1_A1A2_0,168.0,10.25,8.18,16.36,0.0,229.2,209.0
E1_A1A2_1,36.0,10.4,0.54,1.08,0.0,229.2,209.0
E1_A1B1_0,60.0,11.38,0.8,1.6,0.0,279.2,259.0
E1_A1B1_1,36.0,10.13,0.55,1.1,0.0,279.2,259.0
E1_A1left1_0,0.0,-1.0,0.0,-0.0,0.0,189.6,170.0
E1_A1left1_1,0.0,-1.0,0.0,-0.0,0.0,189.6,170.0
E1_A2A1_0,12.0,12.08,0.14,0.28,0.0,229.2,209.0
E1_A2A1_1,84.0,11.63,1.07,2.14,0.0,229.2,209.0
E1_A2A3_0,144.0,11.52,1.89,3.7800000000000002,0.0,229.2,209.0
E1_A2A3_1,36.0,12.53,0.4,0.8,0.0,229.2,209.0
E1_A2B2_0,60.0,11.31,0.8,1.6,0.0,279.2,259.0
E1_A2B2_1,36.0,13.16,0.38,0.76,0.0,279.2,259.0
E1_A2left2_0,0.0,-1.0,0.0,-0.0,0.0,189.6,170.0
E1_A2left2_1,0.0,-1.0,0.0,-0.0,0.0,189.6,170.0
E1_A3A2_0,48.0,14.01,0.48,0.96,0.0,229.2,209.0
E1_A3A2_1,24.0,13.33,0.25,0.5,0.0,229.2,209.0
E1_A3A4_0,168.0,11.26,6.67,13.34,0.0,229.2,209.0
