timestep,edge_id,length,geometry,lane_id,sampled_seconds,speed,occupancy,density,flow
0.0,A0A1,229.2,"LINESTRING (203.2 210.4, 203.2 439.6)",A0A1_0,256.2,8.32,1.83,3.73,111.72096
0.0,A0A1,229.2,"LINESTRING (203.2 210.4, 203.2 439.6)",A0A1_1,25.75,7.34,0.18,0.37,9.77688
0.0,A0B0,279.2,"LINESTRING (210.4 196.8, 489.6 196.8)",A0B0_0,136.12,7.01,0.8,1.63,41.134679999999996
0.0,A0B0,279.2,"LINESTRING (210.4 196.8, 489.6 196.8)",A0B0_1,60.86,12.08,0.35,0.73,31.74624
0.0,A0bottom0,189.6,"LINESTRING (196.8 189.6, 196.8 0)",A0bottom0_0,0.0,0.0,0.0,0.0,0.0
0.0,A0bottom0,189.6,"LINESTRING (196.8 189.6, 196.8 0)",A0bottom0_1,0.0,0.0,0.0,0.0,0.0
0.0,A0left0,189.6,"LINESTRING (189.6 203.2, 0 203.2)",A0left0_0,0.0,0.0,0.0,0.0,0.0
0.0,A0left0,189.6,"LINESTRING (189.6 203.2, 0 203.2)",A0left0_1,0.0,0.0,0.0,0.0,0.0
0.0,A10A11,229.2,"LINESTRING (203.2 2710.4, 203.2 2939.6)",A10A11_0,0.0,0.0,0.0,0.0,0.0
0.0,A10A11,229.2,"LINESTRING (203.2 2710.4, 203.2 2939.6)",A10A11_1,0.0,0.0,0.0,0.0,0.0
0.0,A10A9,229.2,"LINESTRING (196.8 2689.6, 196.8 2460.4)",A10A9_0,173.16,10.47,1.24,2.52,94.98384
0.0,A10A9,229.2,"LINESTRING (196.8 2689.6, 196.8 2460.4)",A10A9_1,81.77,11.75,0.58,1.19,50.337
0.0,A10B10,279.2,"LINESTRING (210.4 2696.8, 489.6 2696.8)",A10B10_0,237.16,11.89,1.39,2.83,121.13532000000001
0.0,A10B10,279.2,"LINESTRING (210.4 2696.8, 489.6 2696.8)",A10B10_1,0.0,0.0,0.0,0.0,0.0
0.0,A10left10,189.6,"LINESTRING (189.6 2703.2, 0 2703.2)",A10left10_0,0.0,0.0,0.0,0.0,0.0
0.0,A10left10,189.6,"LINESTRING (189.6 2703.2, 0 2703.2)",A10left10_1,31.72,12.27,0.26,0.56,24.73632
0.0,A11A10,229.2,"LINESTRING (196.8 2939.6, 196.8 2710.4)",A11A10_0,147.61,7.35,1.05,2.15,56.889
0.0,A11A10,229.2,"LINESTRING (196.8 2939.6, 196.8 2710.4)",A11A10_1,76.41,10.25,0.54,1.11,40.959
0.0,A11B11,279.2,"LINESTRING (210.4 2946.8, 489.6 2946.8)",A11B11_0,92.64,7.31,0.55,1.11,29.21076
0.0,A11B11,279.2,"LINESTRING (210.4 2946.8, 489.6 2946.8)",A11B11_1,11.92,14.74,0.07,0.14,7.428960000000001
0.0,A11left11,189.6,"LINESTRING (189.6 2953.2, 0 2953.2)",A11left11_0,14.68,13.06,0.13,0.26,12.224160000000001
0.0,A11left11,189.6,"LINESTRING (189.6 2953.2, 0 2953.2)",A11left11_1,0.0,0.0,0.0,0.0,0.0
